abacus|n.算盘
abandon|vt.放弃,遗弃n.放任,狂热
abase|v.降低
abate|vt.使(数量、程度等)减少,减轻,除去,缓和,打折扣vi.(数量、程度等)减少,减轻,失效,缓和,(法令等)被废除
abbey|n.修道院,修道士（总称）
abbreviate|v.缩写,缩短,简化,简写成,缩写为
abbreviation|n.缩写,缩写词
abdicate|v.退位,放弃(职位,权力等)
abdomen|n.腹,腹部
abdominal|adj.腹部的
abduct|vt.诱拐,绑架
aberrant|adj.异常的
abhor|vt.憎恶,痛恨
abide|vi.坚持,遵守vt.忍受,容忍
abiding|v.容忍adj.持久的
ability|n.能力,才干
abject|adj.卑鄙的,可怜的
ablaze|adj.adv.着火的,激动的,闪耀的
able|adj.能...的,有才能的,能干的,能够的
ably|adv.能干地,巧妙地
abnormal|adj.反常的,变态的
abnormality|n.变态n.畸形,异常性
aboard|adv.在船(飞机、车)上,上船(飞机、车)prep.在(船、飞机、车)上,上(船、飞机、车)
abode|n.住所,住处
abolish|vt.废止,废除(法律、制度、习俗等)
abolition|n.废除,废除奴隶制度
abominable|adj.讨厌的,令人憎恶的
aboriginal|adj.土著的,原来的n.土著居民
abort|vi.异常中断,中途失败,夭折,流产,发育不全n.中止计划[任务
abound|vi.多,大量存在,富于,充满
about|adv.附近,大约,转向,左右,周围prep.在附近,关于,在...周围,忙于
above|adj.上面的,上述的,上文的adv.在上面prep.在...上方,过于,超出
aboveboard|adj.光明正大的
abrasive|n.研磨剂adj.研磨的
abreast|adv.并肩地,并排地
abridge|v.删节,削减,精简
abroad|adv.往国外,到处,海外,广泛,差得远,心里没有谱
abrupt|adj.突然的,陡峭的,生硬的
abruptly|adv.突然地,唐突地
absence|n.不在,缺席,缺乏,没有
absent|adj.不在的,缺席的,缺少的vt.缺席
absentee|n.缺席者,未上班者
absentminded|adj.心不在焉的,茫然的,恍惚的
absolute|adj.完全的,绝对的
absolutely|adv.完全地,绝对地
absolve|v.宣布免除
absorb|vt.吸收,吸引
absorption|n.吸收
abstain|v.禁绝,放弃
abstention|n.节制
abstinence|n.节制,节欲,戒酒
abstract|n.摘要,概要,抽象adj.抽象的,深奥的,理论的vt.摘要,提炼,抽象化
absurd|adj.荒谬的,可笑的
abundance|n.丰富,充裕,丰富充裕
abundant|adj.丰富的,充裕的,丰富,盛产,富于
abuse|n.滥用,虐待,辱骂,陋习,弊端v.滥用,虐待,辱骂
abusive|adj.辱骂的,滥用的
abyss|n.深渊
academic|adj.学院的,理论的
academician|n.学会会员,院士,大学生,学者
academy|n.(高等)专科院校,研究院,学会,学术团体,学院
accede|v.同意,加入,同意
accelerate|v.加速,促进
accent|n.重音,口音,重音符
accentuate|v.重读,强调,着重强调
accept|vt.接受,认可,承担,承兑vi.同意,承认
acceptable|adj.可接受的,合意的
acceptance|n.接受,承诺,容忍,赞同,相信
access|n.通路,访问,入门vt.存取,接近
accessible|adj.易接近的,可到达的,易受影响的,可理解的
accession|n.就职,就任,添加,增加
accessory|n.附件,零件,附加物,从犯,同谋者adj.附属的,补充的,同谋的,副的
accident|n.意外事件,事故
acclaim|n.喝彩,欢呼v.欢呼,称赞
